,confirm,heal,dead
09.19,90840,85710,4744
09.20,90876,85721,4744
09.21,90890,85739,4744
09.22,90908,85759,4744
09.23,90918,85788,4745
09.24,90933,85806,4745
09.25,90951,85827,4746
09.26,90966,85844,4746
09.27,90993,85865,4746
09.28,91018,85884,4746
09.29,91041,85913,4746
09.30,91061,85950,4746
10.01,91082,85968,4746
10.02,91101,85984,4746
10.03,91121,86000,4746
10.04,91146,86019,4746
10.05,91170,86030,4746
10.06,91188,86056,4746
10.07,91212,86083,4746
10.08,91252,86104,4746
10.09,91278,86136,4746
10.10,91305,86153,4746
10.11,91333,86167,4746
10.12,91359,86185,4746
10.13,91388,86202,4746
10.14,91399,86217,4746
10.15,91436,86239,4746
10.16,91460,86254,4746
10.17,91490,86286,4746
10.18,91507,86312,4746
10.19,91546,86333,4746
10.20,91565,86371,4746
10.21,91588,86395,4746
10.22,91621,86427,4746
10.23,91653,86448,4746
10.24,91675,86480,4746
10.25,91701,86506,4746
10.26,91725,86526,4746
10.27,91772,86537,4746
10.28,91821,86560,4746
10.29,91852,86599,4746
10.30,91893,86626,4746
10.31,91921,86654,4746
11.01,91955,86684,4746
11.02,92015,86712,4746
11.03,92045,86737,4746
11.04,92077,86766,4747
11.05,92121,86793,4748
11.06,92164,86831,4748
11.07,92195,86876,4748
11.08,92242,86901,4748
11.09,92271,86925,4748
11.10,92299,86955,4749
11.11,92336,86985,4749
11.12,92372,87027,4749
11.13,92404,87059,4749
11.14,92428,87087,4749
11.15,92452,87114,4749
11.16,92476,87154,4749
11.17,92490,87208,4749
11.18,92513,87244,4749
